#Keyword Types: 335
#Keyword Tokens: 14674
#Search Hits: 1
114	7	+	41.7	0.0005	навоз
115	10	+	41.04	0.0006	колхоз
116	10	+	41.04	0.0006	пруд
117	6	+	40.85	0.0004	аээ
118	6	+	40.85	0.0004	вещдок
119	6	+	40.85	0.0004	говориться
120	6	+	40.85	0.0004	посадить
121	6	+	40.85	0.0004	эм
122	20	+	40.39	0.0013	спрашивать
123	52	+	39.39	0.0033	потом
124	17	+	38.51	0.0011	сдавать
125	7	+	38.26	0.0005	вакцинироваться
126	15	+	38.21	0.001	приезжать
127	51	+	38.01	0.0032	хороший
128	10	+	37.47	0.0006	наверно
129	16	+	37.34	0.001	дома
130	43	+	37.29	0.0027	почему
131	9	+	36.93	0.0006	мыть
132	29	+	36.76	0.0019	понятный
133	7	+	35.65	0.0005	посев
134	6	+	35.18	0.0004	кхм
135	6	+	35.18	0.0004	сателлит
136	5	+	34.04	0.0003	бабка
137	5	+	34.04	0.0003	белек
138	5	+	34.04	0.0003	даг
139	5	+	34.04	0.0003	коровушка
140	5	+	34.04	0.0003	маланья
141	5	+	34.04	0.0003	многий
142	5	+	34.04	0.0003	наговор
143	5	+	34.04	0.0003	попробовать
144	5	+	34.04	0.0003	посчитать
145	5	+	34.04	0.0003	причитать
146	5	+	34.04	0.0003	сеялка
147	5	+	34.04	0.0003	сказочник
148	5	+	34.04	0.0003	угрим
149	5	+	34.04	0.0003	универ
150	5	+	34.04	0.0003	услышать
151	31	+	33.7	0.002	уж
152	7	+	33.51	0.0005	батюшка
153	7	+	33.51	0.0005	восемьдесят
154	7	+	33.51	0.0005	косточка
155	9	+	33.41	0.0006	поставить
156	9	+	33.41	0.0006	старуха
157	16	+	33.2	0.001	сюда
158	20	+	33.08	0.0013	ребята
159	8	+	32.83	0.0005	собачка
160	17	+	32.76	0.0011	сто
161	21	+	32.67	0.0014	мама
162	9	+	32.39	0.0006	баня
163	6	+	31.99	0.0004	азербайджанский
164	6	+	31.99	0.0004	девчата
165	6	+	31.99	0.0004	изба
166	7	+	31.7	0.0005	ругаться
167	30	+	31.29	0.0019	нибудь
168	13	+	31.2	0.0008	синий
169	30	+	31.13	0.0019	пять
170	18	+	31.03	0.0012	ехать
171	103	+	30.81	0.0063	когда
172	11	+	30.39	0.0007	моему
173	16	+	30.36	0.001	правильно
174	88	+	30.32	0.0055	кто
175	14	+	30.22	0.0009	звать
176	17	+	30.18	0.0011	муж
177	40	+	29.52	0.0026	вообще
178	12	+	29.17	0.0008	зуб
179	7	+	28.73	0.0005	елка
180	5	+	28.7	0.0003	кура
181	5	+	28.7	0.0003	положить
182	8	+	28.36	0.0005	возить
183	56	+	28.36	0.0035	работать
184	26	+	28.18	0.0017	улица
185	17	+	27.87	0.0011	шесть
186	6	+	27.66	0.0004	девяносто
187	6	+	27.66	0.0004	плясать
188	6	+	27.66	0.0004	посидеть
189	6	+	27.66	0.0004	теленок
190	8	+	27.44	0.0005	стучать
191	9	+	27.4	0.0006	корова
192	12	+	27.34	0.0008	праздник
193	10	+	27.3	0.0006	книжка
194	4	+	27.23	0.0003	noun
195	4	+	27.23	0.0003	андерграунд
196	4	+	27.23	0.0003	бельково
197	4	+	27.23	0.0003	булычев
198	4	+	27.23	0.0003	гармонь
199	4	+	27.23	0.0003	гояс
200	4	+	27.23	0.0003	жи
201	4	+	27.23	0.0003	кинуть
202	4	+	27.23	0.0003	мамка
203	4	+	27.23	0.0003	мгм
204	4	+	27.23	0.0003	налаять
205	4	+	27.23	0.0003	плюх
206	4	+	27.23	0.0003	позвонить
207	4	+	27.23	0.0003	поменяться
208	4	+	27.23	0.0003	понужать
209	4	+	27.23	0.0003	пхать
210	4	+	27.23	0.0003	райкомат
211	4	+	27.23	0.0003	рокер
212	4	+	27.23	0.0003	соловей
213	4	+	27.23	0.0003	тяп
214	4	+	27.23	0.0003	урождать
215	4	+	27.23	0.0003	хомутово
216	4	+	27.23	0.0003	чувашский
217	4	+	27.23	0.0003	ща
218	4	+	27.23	0.0003	ягибошна
219	53	+	26.74	0.0034	надо
220	12	+	26.49	0.0008	поехать
221	9	+	26.05	0.0006	болеть
222	6	+	26.03	0.0004	повезти
223	6	+	26.03	0.0004	поесть
224	14	+	25.91	0.0009	вчера
225	5	+	25.8	0.0003	мешочек
226	5	+	25.8	0.0003	плести
227	7	+	25.3	0.0005	восьмой
228	110	+	25.05	0.0067	бы
229	19	+	24.84	0.0012	бог
230	6	+	24.62	0.0004	блин
231	6	+	24.62	0.0004	поглядеть
232	6	+	24.62	0.0004	свекла
233	57	+	24.08	0.0036	сейчас
234	11	+	23.6	0.0007	печь
235	8	+	23.59	0.0005	дурак
236	7	+	23.46	0.0005	немножко
237	12	+	23.45	0.0008	собака
238	6	+	23.38	0.0004	каша
239	6	+	23.38	0.0004	перекресток
240	6	+	23.38	0.0004	сено
241	50	+	23.19	0.0032	просто
242	18	+	23.17	0.0012	умереть
243	39	+	22.95	0.0025	всегда
244	34	+	22.94	0.0022	думать
245	7	+	22.64	0.0005	внук
246	7	+	22.64	0.0005	молитва
247	19	+	22.47	0.0012	получаться
248	24	+	22.41	0.0015	таки
249	8	+	22.32	0.0005	сколь
250	4	+	22.3	0.0003	григорьевна
251	4	+	22.3	0.0003	ленный
252	4	+	22.3	0.0003	што
253	6	+	22.27	0.0004	триста
254	9	+	21.64	0.0006	лошадь
255	18	+	21.4	0.0012	родитель
256	160	+	21.35	0.0094	весь
257	20	+	21.08	0.0013	приходить
258	14	+	20.86	0.0009	брат
259	14	+	20.86	0.0009	твой
260	8	+	20.62	0.0005	рад
261	8	+	20.62	0.0005	финляндия
262	5	+	20.52	0.0003	кушать
263	3	+	20.43	0.0002	ielts
264	3	+	20.43	0.0002	агенство
265	3	+	20.43	0.0002	араповка
266	3	+	20.43	0.0002	баклажан
267	3	+	20.43	0.0002	барка
268	3	+	20.43	0.0002	басхан
269	3	+	20.43	0.0002	борки
270	3	+	20.43	0.0002	буряк
271	3	+	20.43	0.0002	ваще
272	3	+	20.43	0.0002	взорвать
273	3	+	20.43	0.0002	вобще
274	3	+	20.43	0.0002	вундеркинд
275	3	+	20.43	0.0002	гачи
276	3	+	20.43	0.0002	генотип
277	3	+	20.43	0.0002	гумно
278	3	+	20.43	0.0002	девятилетний
279	3	+	20.43	0.0002	детки
280	3	+	20.43	0.0002	дочерь
281	3	+	20.43	0.0002	дюже
282	3	+	20.43	0.0002	енот
283	3	+	20.43	0.0002	живица
284	3	+	20.43	0.0002	закрючье
285	3	+	20.43	0.0002	заменивать
286	3	+	20.43	0.0002	зарослов
287	3	+	20.43	0.0002	инстаграм
288	3	+	20.43	0.0002	кипелово
289	3	+	20.43	0.0002	коклюшка
290	3	+	20.43	0.0002	кувшинчик
291	3	+	20.43	0.0002	лампадка
292	3	+	20.43	0.0002	мгхм
293	3	+	20.43	0.0002	мичурин
294	3	+	20.43	0.0002	молвить
295	3	+	20.43	0.0002	народному
296	3	+	20.43	0.0002	нема
297	3	+	20.43	0.0002	нехотеевка
298	3	+	20.43	0.0002	нрзд
299	3	+	20.43	0.0002	овсеный
300	3	+	20.43	0.0002	олечка
301	3	+	20.43	0.0002	перемешаться
302	3	+	20.43	0.0002	перепелка
303	3	+	20.43	0.0002	петлюровец
304	3	+	20.43	0.0002	поделить
305	3	+	20.43	0.0002	подкидывать
306	3	+	20.43	0.0002	поезжать
307	3	+	20.43	0.0002	посоветовать
308	3	+	20.43	0.0002	прочитать
309	3	+	20.43	0.0002	пчела
310	3	+	20.43	0.0002	робить
311	3	+	20.43	0.0002	рода
312	3	+	20.43	0.0002	сварить
313	3	+	20.43	0.0002	сплавляться
314	3	+	20.43	0.0002	спрыснуть
315	3	+	20.43	0.0002	сухостой
316	3	+	20.43	0.0002	третник
317	3	+	20.43	0.0002	тута
318	3	+	20.43	0.0002	упасть
319	3	+	20.43	0.0002	хе
320	3	+	20.43	0.0002	шевчук
321	3	+	20.43	0.0002	шоб
322	3	+	20.43	0.0002	ще
323	6	+	20.36	0.0004	водить
324	20	+	20.27	0.0013	рассказывать
325	8	+	20.1	0.0005	господь
326	8	+	20.1	0.0005	спасибо
327	4	+	19.73	0.0003	батька
328	4	+	19.73	0.0003	запрячь
329	4	+	19.73	0.0003	мыться
330	4	+	19.73	0.0003	семидесятый
331	12	+	19.73	0.0008	старик
332	4	+	19.73	0.0003	улей
333	10	+	19.66	0.0006	оттуда
334	6	+	19.52	0.0004	девятый
335	6	+	19.52	0.0004	финн
